target,feature
mpounia,601.0
mpounia,600.0
mpounia,598.0
mpounia,596.0
mpounia,595.0
mpounia,594.0
mpounia,591.0
mpounia,590.0
mpounia,588.0
mpounia,585.0
mpounia,582.0
mpounia,580.0
mpounia,578.0
mpounia,576.0
mpounia,572.0
mpounia,569.0
mpounia,567.0
mpounia,564.0
mpounia,560.0
mpounia,557.0
mpounia,555.0
mpounia,553.0
mpounia,548.0
mpounia,545.0
mpounia,532.0
mpounia,526.0
mpounia,525.0
mpounia,523.0
mpounia,521.0
mpounia,518.0
mpounia,516.0
mpounia,514.0
mpounia,512.0
mpounia,507.0
mpounia,507.0
mpounia,506.0
mpounia,504.0
mpounia,502.0
mpounia,501.0
mpounia,500.0
mpounia,499.0
mpounia,498.0
mpounia,497.0
mpounia,497.0
mpounia,497.0
mpounia,497.0
mpounia,497.0
mpounia,497.0
mpounia,497.0
mpounia,499.0
mpounia,499.0
mpounia,500.0
mpounia,501.0
mpounia,502.0
mpounia,505.0
mpounia,508.0
mpounia,514.0
mpounia,518.0
mpounia,521.0
mpounia,524.0
mpounia,528.0
mpounia,532.0
mpounia,534.0
mpounia,538.0
mpounia,542.0
mpounia,545.0
mpounia,548.0
mpounia,553.0
mpounia,555.0
mpounia,558.0
mpounia,561.0
mpounia,564.0
mpounia,567.0
mpounia,570.0
mpounia,572.0
mpounia,576.0
mpounia,578.0
mpounia,580.0
mpounia,582.0
mpounia,585.0
mpounia,586.0
mpounia,589.0
mpounia,590.0
mpounia,591.0
mpounia,593.0
mpounia,595.0
mpounia,595.0
mpounia,522.0
mpounia,528.0
mpounia,532.0
mpounia,535.0
mpounia,540.0
mpounia,543.0
mpounia,546.0
mpounia,552.0
mpounia,554.0
mpounia,557.0
mpounia,561.0
mpounia,566.0
mpounia,568.0
mpounia,572.0
mpounia,576.0
mpounia,579.0
mpounia,581.0
mpounia,585.0
mpounia,588.0
mpounia,590.0
mpounia,592.0
mpounia,595.0
mpounia,597.0
mpounia,600.0
mpounia,602.0
mpounia,604.0
mpounia,605.0
mpounia,606.0
mpounia,608.0
mpounia,608.0
mpounia,609.0
mpounia,610.0
mpounia,612.0
mpounia,609.0
mpounia,610.0
mpounia,610.0
mpounia,609.0
mpounia,607.0
mpounia,607.0
mpounia,606.0
mpounia,603.0
mpounia,603.0
mpounia,601.0
mpounia,598.0
mpounia,596.0
mpounia,594.0
mpounia,591.0
mpounia,589.0
mpounia,585.0
mpounia,581.0
mpounia,579.0
mpounia,576.0
mpounia,572.0
mpounia,568.0
mpounia,564.0
mpounia,560.0
mpounia,557.0
mpounia,554.0
mpounia,549.0
mpounia,545.0
mpounia,542.0
mpounia,538.0
mpounia,534.0
mpounia,609.0
mpounia,609.0
mpounia,613.0
mpounia,613.0
mpounia,614.0
mpounia,614.0
mpounia,614.0
mpounia,613.0
mpounia,610.0
mpounia,609.0
mpounia,608.0
mpounia,607.0
mpounia,606.0
mpounia,604.0
mpounia,601.0
mpounia,600.0
mpounia,596.0
mpounia,593.0
mpounia,590.0
mpounia,588.0
mpounia,584.0
mpounia,580.0
mpounia,578.0
mpounia,573.0
mpounia,569.0
mpounia,567.0
mpounia,562.0
mpounia,559.0
mpounia,555.0
mpounia,552.0
mpounia,547.0
mpounia,533.0
mpounia,590.0
mpounia,586.0
mpounia,584.0
mpounia,582.0
mpounia,580.0
mpounia,578.0
mpounia,577.0
mpounia,573.0
mpounia,570.0
mpounia,568.0
mpounia,566.0
mpounia,562.0
mpounia,560.0
mpounia,557.0
mpounia,555.0
mpounia,553.0
mpounia,549.0
mpounia,546.0
mpounia,544.0
mpounia,542.0
mpounia,538.0
mpounia,535.0
mpounia,533.0
mpounia,531.0
mpounia,528.0
mpounia,526.0
mpounia,523.0
mpounia,522.0
mpounia,519.0
mpounia,518.0
mpounia,516.0
mpounia,507.0
mpounia,507.0
mpounia,506.0
mpounia,506.0
mpounia,504.0
mpounia,505.0
mpounia,504.0
mpounia,504.0
mpounia,504.0
mpounia,504.0
mpounia,504.0
mpounia,505.0
mpounia,504.0
mpounia,505.0
mpounia,506.0
mpounia,507.0
mpounia,508.0
mpounia,509.0
mpounia,512.0
mpounia,513.0
mpounia,514.0
mpounia,517.0
mpounia,519.0
mpounia,521.0
mpounia,523.0
mpounia,525.0
mpounia,528.0
mpounia,531.0
mpounia,533.0
mpounia,535.0
mpounia,537.0
mpounia,484.0
mpounia,482.0
mpounia,482.0
mpounia,483.0
mpounia,483.0
mpounia,484.0
mpounia,484.0
mpounia,485.0
mpounia,486.0
mpounia,487.0
mpounia,488.0
mpounia,489.0
mpounia,492.0
mpounia,494.0
mpounia,496.0
mpounia,497.0
mpounia,500.0
mpounia,502.0
mpounia,506.0
mpounia,508.0
mpounia,512.0
mpounia,514.0
mpounia,518.0
mpounia,522.0
mpounia,525.0
mpounia,528.0
mpounia,532.0
mpounia,535.0
mpounia,538.0
mpounia,542.0
mpounia,545.0
mpounia,548.0
mpounia,487.0
mpounia,487.0
mpounia,489.0
mpounia,493.0
mpounia,494.0
mpounia,496.0
mpounia,498.0
mpounia,500.0
mpounia,504.0
mpounia,506.0
mpounia,508.0
mpounia,512.0
mpounia,514.0
mpounia,518.0
mpounia,522.0
mpounia,525.0
mpounia,529.0
mpounia,533.0
mpounia,535.0
mpounia,541.0
mpounia,543.0
mpounia,546.0
mpounia,552.0
mpounia,555.0
mpounia,558.0
mpounia,561.0
mpounia,566.0
mpounia,569.0
mpounia,572.0
mpounia,576.0
mpounia,580.0
mpounia,582.0
mpounia,594.0
mpounia,596.0
mpounia,600.0
mpounia,601.0
mpounia,603.0
mpounia,603.0
mpounia,606.0
mpounia,607.0
mpounia,608.0
mpounia,608.0
mpounia,609.0
mpounia,609.0
mpounia,608.0
mpounia,609.0
mpounia,609.0
mpounia,608.0
mpounia,608.0
mpounia,607.0
mpounia,606.0
mpounia,605.0
mpounia,604.0
mpounia,602.0
mpounia,600.0
mpounia,598.0
mpounia,596.0
mpounia,594.0
mpounia,591.0
mpounia,589.0
mpounia,586.0
mpounia,582.0
mpounia,580.0
mpounia,582.0
mpounia,586.0
mpounia,589.0
mpounia,591.0
mpounia,594.0
mpounia,596.0
mpounia,598.0
mpounia,601.0
mpounia,602.0
mpounia,604.0
mpounia,605.0
mpounia,606.0
mpounia,606.0
mpounia,607.0
mpounia,607.0
mpounia,608.0
mpounia,607.0
mpounia,607.0
mpounia,607.0
mpounia,607.0
mpounia,606.0
mpounia,606.0
mpounia,604.0
mpounia,603.0
mpounia,602.0
mpounia,600.0
mpounia,598.0
mpounia,596.0
mpounia,594.0
mpounia,591.0
mpounia,589.0
mpounia,578.0
mpounia,499.0
mpounia,502.0
mpounia,506.0
mpounia,508.0
mpounia,509.0
mpounia,513.0
mpounia,516.0
mpounia,519.0
mpounia,522.0
mpounia,525.0
mpounia,531.0
mpounia,535.0
mpounia,538.0
mpounia,542.0
mpounia,545.0
mpounia,549.0
mpounia,553.0
mpounia,556.0
mpounia,560.0
mpounia,564.0
mpounia,567.0
mpounia,570.0
mpounia,573.0
mpounia,577.0
mpounia,580.0
mpounia,583.0
mpounia,586.0
mpounia,589.0
mpounia,592.0
mpounia,595.0
mpounia,596.0
mpounia,600.0
mpounia,605.0
mpounia,606.0
mpounia,608.0
mpounia,609.0
mpounia,610.0
mpounia,610.0
mpounia,610.0
mpounia,610.0
mpounia,608.0
mpounia,609.0
mpounia,609.0
mpounia,608.0
mpounia,607.0
mpounia,606.0
mpounia,605.0
mpounia,603.0
mpounia,601.0
mpounia,600.0
mpounia,596.0
mpounia,594.0
mpounia,591.0
mpounia,589.0
mpounia,585.0
mpounia,582.0
mpounia,579.0
mpounia,576.0
mpounia,571.0
mpounia,568.0
mpounia,566.0
mpounia,561.0
mpounia,557.0
mpounia,516.0
mpounia,520.0
mpounia,522.0
mpounia,525.0
mpounia,528.0
mpounia,532.0
mpounia,534.0
mpounia,537.0
mpounia,541.0
mpounia,544.0
mpounia,547.0
mpounia,552.0
mpounia,555.0
mpounia,557.0
mpounia,561.0
mpounia,564.0
mpounia,568.0
mpounia,570.0
mpounia,573.0
mpounia,577.0
mpounia,580.0
mpounia,582.0
mpounia,586.0
mpounia,589.0
mpounia,591.0
mpounia,594.0
mpounia,596.0
mpounia,598.0
mpounia,600.0
mpounia,602.0
mpounia,604.0
mpounia,608.0
mpounia,496.0
mpounia,494.0
mpounia,493.0
mpounia,489.0
mpounia,489.0
mpounia,488.0
mpounia,487.0
mpounia,487.0
mpounia,486.0
mpounia,486.0
mpounia,486.0
mpounia,486.0
mpounia,486.0
mpounia,487.0
mpounia,487.0
mpounia,488.0
mpounia,489.0
mpounia,490.0
mpounia,494.0
mpounia,495.0
mpounia,496.0
mpounia,498.0
mpounia,500.0
mpounia,502.0
mpounia,506.0
mpounia,508.0
mpounia,510.0
mpounia,513.0
mpounia,517.0
mpounia,520.0
mpounia,522.0
mpounia,535.0
mpounia,541.0
mpounia,544.0
mpounia,549.0
mpounia,553.0
mpounia,555.0
mpounia,559.0
mpounia,561.0
mpounia,567.0
mpounia,569.0
mpounia,572.0
mpounia,577.0
mpounia,580.0
mpounia,582.0
mpounia,585.0
mpounia,588.0
mpounia,590.0
mpounia,592.0
mpounia,595.0
mpounia,596.0
mpounia,598.0
mpounia,600.0
mpounia,602.0
mpounia,604.0
mpounia,604.0
mpounia,605.0
mpounia,606.0
mpounia,606.0
mpounia,607.0
mpounia,607.0
mpounia,607.0
mpounia,595.0
mpounia,595.0
mpounia,595.0
mpounia,595.0
mpounia,594.0
mpounia,594.0
mpounia,592.0
mpounia,591.0
mpounia,590.0
mpounia,588.0
mpounia,586.0
mpounia,585.0
mpounia,582.0
mpounia,580.0
mpounia,579.0
mpounia,577.0
mpounia,573.0
mpounia,570.0
mpounia,568.0
mpounia,566.0
mpounia,562.0
mpounia,560.0
mpounia,556.0
mpounia,554.0
mpounia,552.0
mpounia,547.0
mpounia,544.0
mpounia,542.0
mpounia,538.0
mpounia,535.0
mpounia,533.0
mpounia,530.0
mpounia,574.0
mpounia,579.0
mpounia,581.0
mpounia,584.0
mpounia,586.0
mpounia,589.0
mpounia,591.0
mpounia,593.0
mpounia,595.0
mpounia,596.0
mpounia,598.0
mpounia,600.0
mpounia,601.0
mpounia,602.0
mpounia,603.0
mpounia,604.0
mpounia,604.0
mpounia,605.0
mpounia,605.0
mpounia,605.0
mpounia,605.0
mpounia,604.0
mpounia,604.0
mpounia,603.0
mpounia,602.0
mpounia,601.0
mpounia,600.0
mpounia,597.0
mpounia,596.0
mpounia,594.0
mpounia,591.0
mpounia,590.0
mpounia,578.0
mpounia,576.0
mpounia,571.0
mpounia,569.0
mpounia,567.0
mpounia,562.0
mpounia,560.0
mpounia,557.0
mpounia,554.0
mpounia,550.0
mpounia,546.0
mpounia,541.0
mpounia,540.0
mpounia,535.0
mpounia,533.0
mpounia,530.0
mpounia,526.0
mpounia,522.0
mpounia,520.0
mpounia,517.0
mpounia,514.0
mpounia,512.0
mpounia,509.0
mpounia,507.0
mpounia,505.0
mpounia,504.0
mpounia,501.0
mpounia,499.0
mpounia,497.0
mpounia,496.0
mpounia,495.0
mpounia,518.0
mpounia,513.0
mpounia,512.0
mpounia,509.0
mpounia,507.0
mpounia,506.0
mpounia,505.0
mpounia,504.0
mpounia,502.0
mpounia,500.0
mpounia,499.0
mpounia,499.0
mpounia,498.0
mpounia,497.0
mpounia,497.0
mpounia,497.0
mpounia,497.0
mpounia,497.0
mpounia,498.0
mpounia,499.0
mpounia,500.0
mpounia,500.0
mpounia,502.0
mpounia,504.0
mpounia,505.0
mpounia,507.0
mpounia,508.0
mpounia,509.0
mpounia,513.0
mpounia,514.0
mpounia,517.0
mpounia,531.0
mpounia,501.0
mpounia,498.0
mpounia,497.0
mpounia,496.0
mpounia,495.0
mpounia,495.0
mpounia,494.0
mpounia,494.0
mpounia,494.0
mpounia,494.0
mpounia,494.0
mpounia,495.0
mpounia,495.0
mpounia,496.0
mpounia,497.0
mpounia,499.0
mpounia,500.0
mpounia,502.0
mpounia,504.0
mpounia,506.0
mpounia,508.0
mpounia,510.0
mpounia,513.0
mpounia,516.0
mpounia,518.0
mpounia,521.0
mpounia,524.0
mpounia,528.0
mpounia,531.0
mpounia,534.0
mpounia,537.0
mpounia,552.0
mpounia,556.0
mpounia,559.0
mpounia,564.0
mpounia,568.0
mpounia,570.0
mpounia,573.0
mpounia,578.0
mpounia,580.0
mpounia,583.0
mpounia,586.0
mpounia,588.0
mpounia,592.0
mpounia,595.0
mpounia,597.0
mpounia,598.0
mpounia,602.0
mpounia,604.0
mpounia,605.0
mpounia,606.0
mpounia,607.0
mpounia,608.0
mpounia,608.0
mpounia,609.0
mpounia,609.0
mpounia,609.0
mpounia,610.0
mpounia,609.0
mpounia,609.0
mpounia,609.0
mpounia,608.0
mpounia,523.0
mpounia,528.0
mpounia,532.0
mpounia,535.0
mpounia,538.0
mpounia,542.0
mpounia,545.0
mpounia,548.0
mpounia,553.0
mpounia,555.0
mpounia,559.0
mpounia,562.0
mpounia,566.0
mpounia,569.0
mpounia,572.0
mpounia,576.0
mpounia,579.0
mpounia,581.0
mpounia,585.0
mpounia,588.0
mpounia,590.0
mpounia,592.0
mpounia,594.0
mpounia,596.0
mpounia,598.0
mpounia,600.0
mpounia,601.0
mpounia,603.0
mpounia,604.0
mpounia,605.0
mpounia,606.0
mpounia,606.0
mpounia,508.0
mpounia,507.0
mpounia,506.0
mpounia,506.0
mpounia,506.0
mpounia,505.0
mpounia,505.0
mpounia,506.0
mpounia,506.0
mpounia,506.0
mpounia,507.0
mpounia,508.0
mpounia,509.0
mpounia,509.0
mpounia,512.0
mpounia,513.0
mpounia,516.0
mpounia,517.0
mpounia,519.0
mpounia,521.0
mpounia,522.0
mpounia,525.0
mpounia,528.0
mpounia,530.0
mpounia,533.0
mpounia,535.0
mpounia,537.0
mpounia,543.0
mpounia,547.0
mpounia,552.0
mpounia,554.0
mpounia,556.0
mpounia,568.0
mpounia,570.0
mpounia,574.0
mpounia,577.0
mpounia,580.0
mpounia,580.0
mpounia,584.0
mpounia,586.0
mpounia,589.0
mpounia,589.0
mpounia,593.0
mpounia,595.0
mpounia,597.0
mpounia,598.0
mpounia,600.0
mpounia,601.0
mpounia,602.0
mpounia,602.0
mpounia,603.0
mpounia,604.0
mpounia,604.0
mpounia,604.0
mpounia,604.0
mpounia,603.0
mpounia,602.0
mpounia,602.0
mpounia,601.0
mpounia,600.0
mpounia,598.0
mpounia,596.0
mpounia,595.0
mpounia,547.0
mpounia,553.0
mpounia,556.0
mpounia,560.0
mpounia,564.0
mpounia,568.0
mpounia,570.0
mpounia,574.0
mpounia,578.0
mpounia,581.0
mpounia,584.0
mpounia,586.0
mpounia,590.0
mpounia,592.0
mpounia,595.0
mpounia,597.0
mpounia,600.0
mpounia,601.0
mpounia,603.0
mpounia,605.0
mpounia,606.0
mpounia,607.0
mpounia,608.0
mpounia,608.0
mpounia,609.0
mpounia,609.0
mpounia,610.0
mpounia,610.0
mpounia,610.0
mpounia,609.0
mpounia,609.0
mpounia,605.0
mpounia,504.0
mpounia,507.0
mpounia,509.0
mpounia,512.0
mpounia,514.0
mpounia,517.0
mpounia,520.0
mpounia,523.0
mpounia,525.0
mpounia,529.0
mpounia,533.0
mpounia,535.0
mpounia,538.0
mpounia,543.0
mpounia,545.0
mpounia,549.0
mpounia,553.0
mpounia,555.0
mpounia,559.0
mpounia,562.0
mpounia,566.0
mpounia,568.0
mpounia,571.0
mpounia,574.0
mpounia,578.0
mpounia,580.0
mpounia,582.0
mpounia,586.0
mpounia,589.0
mpounia,590.0
mpounia,592.0
mpounia,598.0
mpounia,603.0
mpounia,603.0
mpounia,606.0
mpounia,607.0
mpounia,607.0
mpounia,608.0
mpounia,608.0
mpounia,608.0
mpounia,607.0
mpounia,608.0
mpounia,608.0
mpounia,608.0
mpounia,607.0
mpounia,606.0
mpounia,606.0
mpounia,605.0
mpounia,603.0
mpounia,601.0
mpounia,600.0
mpounia,598.0
mpounia,595.0
mpounia,593.0
mpounia,590.0
mpounia,588.0
mpounia,585.0
mpounia,582.0
mpounia,579.0
mpounia,576.0
mpounia,572.0
mpounia,568.0
mpounia,559.0
mpounia,529.0
mpounia,524.0
mpounia,522.0
mpounia,520.0
mpounia,518.0
mpounia,516.0
mpounia,514.0
mpounia,513.0
mpounia,510.0
mpounia,508.0
mpounia,507.0
mpounia,507.0
mpounia,506.0
mpounia,505.0
mpounia,505.0
mpounia,505.0
mpounia,504.0
mpounia,504.0
mpounia,505.0
mpounia,505.0
mpounia,506.0
mpounia,506.0
mpounia,507.0
mpounia,508.0
mpounia,509.0
mpounia,511.0
mpounia,513.0
mpounia,514.0
mpounia,516.0
mpounia,518.0
mpounia,520.0
mpounia,529.0
mpounia,589.0
mpounia,584.0
mpounia,581.0
mpounia,579.0
mpounia,577.0
mpounia,572.0
mpounia,570.0
mpounia,567.0
mpounia,564.0
mpounia,560.0
mpounia,557.0
mpounia,555.0
mpounia,552.0
mpounia,547.0
mpounia,544.0
mpounia,542.0
mpounia,538.0
mpounia,535.0
mpounia,533.0
mpounia,529.0
mpounia,526.0
mpounia,523.0
mpounia,521.0
mpounia,519.0
mpounia,517.0
mpounia,514.0
mpounia,512.0
mpounia,509.0
mpounia,508.0
mpounia,507.0
mpounia,506.0
mpounia,499.0
mpounia,499.0
mpounia,498.0
mpounia,500.0
mpounia,500.0
mpounia,500.0
mpounia,501.0
mpounia,502.0
mpounia,505.0
mpounia,506.0
mpounia,507.0
mpounia,508.0
mpounia,509.0
mpounia,512.0
mpounia,514.0
mpounia,516.0
mpounia,518.0
mpounia,521.0
mpounia,523.0
mpounia,525.0
mpounia,529.0
mpounia,532.0
mpounia,534.0
mpounia,540.0
mpounia,543.0
mpounia,546.0
mpounia,549.0
mpounia,553.0
mpounia,556.0
mpounia,559.0
mpounia,562.0
mpounia,502.0
mpounia,505.0
mpounia,506.0
mpounia,508.0
mpounia,510.0
mpounia,513.0
mpounia,516.0
mpounia,518.0
mpounia,521.0
mpounia,523.0
mpounia,526.0
mpounia,529.0
mpounia,532.0
mpounia,535.0
mpounia,538.0
mpounia,542.0
mpounia,545.0
mpounia,547.0
mpounia,553.0
mpounia,555.0
mpounia,558.0
mpounia,561.0
mpounia,566.0
mpounia,568.0
mpounia,571.0
mpounia,576.0
mpounia,578.0
mpounia,580.0
mpounia,582.0
mpounia,586.0
mpounia,589.0
mpounia,591.0
mpounia,513.0
mpounia,518.0
mpounia,521.0
mpounia,523.0
mpounia,526.0
mpounia,529.0
mpounia,533.0
mpounia,535.0
mpounia,538.0
mpounia,542.0
mpounia,545.0
mpounia,549.0
mpounia,553.0
mpounia,556.0
mpounia,559.0
mpounia,561.0
mpounia,566.0
mpounia,568.0
mpounia,572.0
mpounia,576.0
mpounia,579.0
mpounia,581.0
mpounia,584.0
mpounia,588.0
mpounia,590.0
mpounia,592.0
mpounia,595.0
mpounia,597.0
mpounia,600.0
mpounia,602.0
mpounia,604.0
mpounia,605.0
mpounia,609.0
mpounia,613.0
mpounia,612.0
mpounia,614.0
mpounia,614.0
mpounia,614.0
mpounia,614.0
mpounia,614.0
mpounia,612.0
mpounia,613.0
mpounia,610.0
mpounia,609.0
mpounia,608.0
mpounia,607.0
mpounia,606.0
mpounia,604.0
mpounia,602.0
mpounia,600.0
mpounia,598.0
mpounia,595.0
mpounia,592.0
mpounia,590.0
mpounia,586.0
mpounia,583.0
mpounia,579.0
mpounia,577.0
mpounia,572.0
mpounia,568.0
mpounia,565.0
mpounia,560.0
mpounia,556.0
mpounia,591.0
mpounia,594.0
mpounia,595.0
mpounia,596.0
mpounia,596.0
mpounia,597.0
mpounia,597.0
mpounia,597.0
mpounia,597.0
mpounia,596.0
mpounia,596.0
mpounia,596.0
mpounia,595.0
mpounia,594.0
mpounia,592.0
mpounia,591.0
mpounia,590.0
mpounia,588.0
mpounia,586.0
mpounia,583.0
mpounia,581.0
mpounia,579.0
mpounia,577.0
mpounia,573.0
mpounia,570.0
mpounia,568.0
mpounia,566.0
mpounia,562.0
mpounia,559.0
mpounia,556.0
mpounia,553.0
mpounia,536.0
mpounia,580.0
mpounia,584.0
mpounia,588.0
mpounia,589.0
mpounia,594.0
mpounia,595.0
mpounia,597.0
mpounia,600.0
mpounia,601.0
mpounia,604.0
mpounia,605.0
mpounia,606.0
mpounia,606.0
mpounia,607.0
mpounia,608.0
mpounia,608.0
mpounia,608.0
mpounia,608.0
mpounia,608.0
mpounia,608.0
mpounia,608.0
mpounia,607.0
mpounia,607.0
mpounia,606.0
mpounia,605.0
mpounia,604.0
mpounia,602.0
mpounia,601.0
mpounia,598.0
mpounia,596.0
mpounia,594.0
mpounia,591.0
mpounia,583.0
mpounia,580.0
mpounia,578.0
mpounia,573.0
mpounia,570.0
mpounia,568.0
mpounia,564.0
mpounia,561.0
mpounia,557.0
mpounia,555.0
mpounia,552.0
mpounia,547.0
mpounia,544.0
mpounia,541.0
mpounia,536.0
mpounia,534.0
mpounia,531.0
mpounia,528.0
mpounia,524.0
mpounia,521.0
mpounia,518.0
mpounia,516.0
mpounia,513.0
mpounia,509.0
mpounia,507.0
mpounia,506.0
mpounia,504.0
mpounia,502.0
mpounia,500.0
mpounia,497.0
mpounia,496.0
mpounia,496.0
mpounia,499.0
mpounia,502.0
mpounia,505.0
mpounia,506.0
mpounia,507.0
mpounia,511.0
mpounia,514.0
